id,name,is_animation_studio,site_url,favorites
903,Studio Zealot,True,https://anilist.co/studio/903,4
907,AYCO,True,https://anilist.co/studio/907,0
6097,Angelfish,False,https://anilist.co/studio/6097,2
919,Ankama,False,https://anilist.co/studio/919,11
931,Poncotan,True,https://anilist.co/studio/931,1
6085,BOOTLEG,True,https://anilist.co/studio/6085,46
951,NAZ,True,https://anilist.co/studio/951,34
6061,Benesse Corporation,False,https://anilist.co/studio/6061,0
6055,"Wake Up, Girls! Partners",False,https://anilist.co/studio/6055,0
6053,Toaru Hikuushi e no Koiuta Partners,False,https://anilist.co/studio/6053,1
961,Baramiri,False,https://anilist.co/studio/961,1
6123,Mirai Film,True,https://anilist.co/studio/6123,1
6294,Wolf Smoke Studio,True,https://anilist.co/studio/6294,6
937,Studio Kaab,True,https://anilist.co/studio/937,0
6057,Nippon Ichi Software,False,https://anilist.co/studio/6057,3
7500,Gendai Production,False,https://anilist.co/studio/7500,0
6397,Opera House,True,https://anilist.co/studio/6397,0
6765,Ashisuto,False,https://anilist.co/studio/6765,0
6438,Gust,False,https://anilist.co/studio/6438,0
525,KAGAYA Studio,False,https://anilist.co/studio/525,1
6063,DropWave,False,https://anilist.co/studio/6063,0
6062,STEVE N' STEVEN,False,https://anilist.co/studio/6062,3
6132,Tengu Kobou,True,https://anilist.co/studio/6132,4
6193,Picona Creative Studio,False,https://anilist.co/studio/6193,2
6065,Project Walkure,False,https://anilist.co/studio/6065,1
6074,C-Station,True,https://anilist.co/studio/6074,103
6501,Tri-Slash,True,https://anilist.co/studio/6501,0
6146,Yaoyorozu,False,https://anilist.co/studio/6146,31
6734,Cyclone Graphics,True,https://anilist.co/studio/6734,3
7089,S-Wood,False,https://anilist.co/studio/7089,2
6564,Heartbit,True,https://anilist.co/studio/6564,0
7081,Age Global Networks,False,https://anilist.co/studio/7081,0
7082,TOP-INSIGHT,False,https://anilist.co/studio/7082,0
6334,I Will,False,https://anilist.co/studio/6334,0
6128,Bunny Walker,True,https://anilist.co/studio/6128,533
6115,MAM,False,https://anilist.co/studio/6115,1
955,Harmonic,False,https://anilist.co/studio/955,1
6619,Aeon Entertainment,False,https://anilist.co/studio/6619,1
6124,Studio! Cucuri,True,https://anilist.co/studio/6124,0
625,GP MEDIA JAPAN,False,https://anilist.co/studio/625,2
6083,HiLLS,True,https://anilist.co/studio/6083,2
6181,Juicy Mango,False,https://anilist.co/studio/6181,13
6854,NewGeneration,True,https://anilist.co/studio/6854,40
6084,Mitsu,True,https://anilist.co/studio/6084,1
6076,office DCI,True,https://anilist.co/studio/6076,1
7335,Anime Consortium Japan,False,https://anilist.co/studio/7335,0
6081,Studio Dice,False,https://anilist.co/studio/6081,4
6099,CHIPPAI,True,https://anilist.co/studio/6099,22
6100,Pollyanna Graphics Inc,False,https://anilist.co/studio/6100,0
6902,44℃ Baidoku,False,https://anilist.co/studio/6902,11
6436,Fortes,True,https://anilist.co/studio/6436,0
6253,Team YokkyuFuman,False,https://anilist.co/studio/6253,3
6300,Buemon,True,https://anilist.co/studio/6300,1
6220,erozuki,False,https://anilist.co/studio/6220,2
6104,Symphonium,False,https://anilist.co/studio/6104,1
6106,EDGE,True,https://anilist.co/studio/6106,42
6129,Tencent Animation & Comics,False,https://anilist.co/studio/6129,21
6140,Haoliners Animation,True,https://anilist.co/studio/6140,145
6152,Koo-Ki,False,https://anilist.co/studio/6152,0
7037,PACHINKO&SLOT ISLAND,False,https://anilist.co/studio/7037,0
6094,King Bee,True,https://anilist.co/studio/6094,5
7291,Poni-Pachet,False,https://anilist.co/studio/7291,2
7292,Hobibox,False,https://anilist.co/studio/7292,0
6391,Studio LAN,True,https://anilist.co/studio/6391,50
6318,Pb Animation,True,https://anilist.co/studio/6318,7
6323,Paper Plane Animation Studio,True,https://anilist.co/studio/6323,3
6767,Top Marshal,False,https://anilist.co/studio/6767,0
6278,Suzuki Mirano petit,False,https://anilist.co/studio/6278,36
6130,G.CMay Animation & Film,True,https://anilist.co/studio/6130,39
695,PEERLESS GERBERA,False,https://anilist.co/studio/695,1
6058,JTB Entertainment,False,https://anilist.co/studio/6058,1
669,Wargaming Japan,False,https://anilist.co/studio/669,0
6532,NAMU Animation,True,https://anilist.co/studio/6532,2
6133,Lambert,False,https://anilist.co/studio/6133,0
6366,"Water Orion, Inc.",False,https://anilist.co/studio/6366,2
6367,Artsvision,False,https://anilist.co/studio/6367,0
6369,Hirata Production Japan,False,https://anilist.co/studio/6369,1
6365,Office Anemone,False,https://anilist.co/studio/6365,1
6368,Studio Inspire,False,https://anilist.co/studio/6368,0
7222,SPRiNG,False,https://anilist.co/studio/7222,0
7178,Kakao Japan,False,https://anilist.co/studio/7178,0
6681,Parco,False,https://anilist.co/studio/6681,0
6682,Teichiku Entertainment,False,https://anilist.co/studio/6682,1
6683,e-notion,False,https://anilist.co/studio/6683,0
6962,Office 8-ban,True,https://anilist.co/studio/6962,0
6143,TYPHOON GRAPHICS,True,https://anilist.co/studio/6143,10
6883,Kotobukiya,False,https://anilist.co/studio/6883,0
6144,Selfish,True,https://anilist.co/studio/6144,47
6089,VANILLA,False,https://anilist.co/studio/6089,6
6147,Studio Ponoc,True,https://anilist.co/studio/6147,75
6390,Success,False,https://anilist.co/studio/6390,0
6349,Imagineer,True,https://anilist.co/studio/6349,0
6382,Tencent Penguin Pictures,False,https://anilist.co/studio/6382,83
6642,China Wit Media,False,https://anilist.co/studio/6642,3
6153,Show-Ten,False,https://anilist.co/studio/6153,33
6499,Prhythm Vision,True,https://anilist.co/studio/6499,0
6167,drop,False,https://anilist.co/studio/6167,1
6212,Big Firebird Cultural Media,False,https://anilist.co/studio/6212,22
6155,Collaboration Works petit,False,https://anilist.co/studio/6155,28
