staff_id,occupation
128907,Audio Engineer
95270,Voice Actor
95270,Vocalist
95186,Voice Actor
114834,Voice Actor
104593,Voice Actor
110743,Voice Actor
130536,Band
190340,Voice Actor
190340,ADR Director
190340,Musician
119841,Director
119841,Storyboard Artist
186481,Voice Actor
111643,Voice Actor
159600,Animation Director
197587,Voice Actor
96282,Voice Actor
220701,Translator
225921,Translator
233369,Letterer
233369,Touch-up Artist
217595,Letterer
217595,Touch-up Artist
281731,Translator
313393,Translator
104030,Mangaka
114745,Mangaka
270807,Translator
219257,Producer
118983,Animator
118983,Designer
101153,Director
101153,Storyboard Artist
103074,Sound Director
118409,Composite Artist
146247,Painter
128830,Producer
124306,Background Artist
181813,Producer
95118,Voice Actor
105989,Voice Actor
95413,Voice Actor
95413,Vocalist
95212,Voice Actor
105765,Voice Actor
174776,Band
136213,Director 
179846,Scriptwriter
251585,Scriptwriter
97096,Scriptwriter
121841,Director
121841,Storyboard Artist
124399,Composite Artist
111635,Voice Actor
114607,Director
238668,Director
238668,Storyboarder
117703,Director
117703,Storyboarder 
100641,Director
100641,Storyboarder 
132889,Composite Artist
141679,Director
141679,Storyboarder 
134150,Animator
134150,Storyboarder
100656,Director
100656,Storyboarder 
95002,Voice Actor
95132,Voice Actor
96904,Mangaka
100152,Director
100152,Audio Engineer
100904,Vocalist
101308,Scriptwriter
101308,Lyricist
101485,Vocalist
101887,Animator
101887,Designer
102186,Band
103471,Musician
105120,Vocalist
105120,Voice Actor
111779,Vocalist
111779,Lyricist
111779,Arranger
97994,Mangaka
98287,Mangaka
121139,Mangaka
224421,Translator
270832,Translator
270831,Translator
137414,Band
148596,Director
148596,Storyboarder
209772,Animator
120831,Band
165281,Band
126807,Vocalist
146863,Band
146863,Composer
115050,Audio Engineer
116631,Animator
116631,Designer
134958,Animator
107437,Director
107437,Storyboard Artist
147219,Composite Artist
127385,Director
127385,Storyboarder 
132788,Audio Engineer
132907,Animator
133014,Animator
133657,Director
146561,Painter
205722,Animator
149121,Animator
224510,Director
129400,Editor
97197,Pseudonym
147221,Musician
147222,Background Artist
121729,Director
121729,Storyboarder
104540,Scriptwriter
104540,Lyricist
104540,Vocalist
147656,Director
147656,Storyboarder 
141537,Animator
139177,Animator
143690,Animator
122332,Animator
122946,Animator
124322,Animator
124428,Animator
141540,Voice Actor
114331,Background Artist
103540,Animator
103540,Designer
109751,Director
109751,Storyboard Artist
110937,Animator
111627,Musician
116513,Animator
116513,Character Designer
118966,Background Artist
95001,Voice Actor
95074,Voice Actor
95144,Voice Actor
95283,Voice Actor
95314,Vocalist
95314,Musician
95348,Voice Actor
95348,Vocalist
95356,Voice Actor
100327,Band
101064,Director
101064,Storyboard Artist
101726,Director
101726,Animator
102420,Director
102420,Character Designer
104381,Animator
104397,Composer
105834,Scriptwriter
110641,Scriptwriter
111053,Audio Engineer
137228,Mangaka
219074,Translator
223785,Letterer & Touch-up Artist
279890,Mangaka
105915,Writer
227108,Voice Actor
219243,Translator
220279,Translator
283260,Translator
95078,Voice Actor
95380,Voice Actor
95890,Voice Actor
95890,Vocalist
100652,Director
103219,Director
106483,Director
106483,Storyboarder 
106485,Art Director
111585,Animator
111709,Animator
111709,Designer
111749,Sound Director
120893,Director
120893,Storyboard Artist
120411,Animator
120411,Designer
122610,Animator
122610,Illustrator
100076,Vocalist
100076,Lyricist
100076,Composer
101011,Arranger
101011,Composer
104377,Animator
110665,Animator
111559,Producer
111707,Director
111707,Storyboarder 
119573,Director
119573,Storyboarder
121326,Background Artist
121212,Animator
119818,Scriptwriter
122609,Director
122609,Animator
257064,Producer
95201,Voice Actor
109639,Vocalist
122078,Animator
122370,Animator
128603,Composite Artist
144390,Background Artist
118433,Editor
142411,Audio Engineer
187463,Background Artist
100087,Vocalist
100087,Lyricist
100087,Composer
162802,Composer
141575,Voice Actor
102621,Producer
135544,Producer
278345,Letterer
95661,Voice Actor
97349,Director
97349,Animator
100172,Composer
101186,Director
101186,Storyboard Artist
102412,Director
105410,Animator
106630,Voice Actor
106633,Animator
109229,Vocalist
110647,Background Artist
111835,Animator
107959,Writer
95207,Voice Actor
95795,Voice Actor
103838,Director
103838,Storyboarder 
103898,Band
104826,Director
104826,Scriptwriter
104826,Storyboarder 
105377,Director
105377,Storyboarder 
110189,Animator
110189,Designer
110929,Director
110929,Storyboarder 
224882,Translator
266878,Translator
226100,Translator
119394,Director
122552,Director
122552,Storyboard Artist
118776,Scriptwriter
118925,Animator
127694,Composer
127694,Arranger
233011,Band
266865,Composer
266864,Band
266862,Composer
280859,Band
119518,Voice Actor
124390,Voice Actor
150022,Animator
128761,Director
134376,Animator
121888,Animator
148209,Animator
234222,Animator
105684,Writer
106110,Illustrator
95762,Voice Actor
97415,Scriptwriter
100640,Director
100640,Storyboarder 
101327,Animator
101327,Designer
101598,Director
101598,Storyboarder 
101996,Voice Actor
101996,Vocalist
102004,Animator
102176,Musician
102190,Director
102190,Storyboarder 
103538,Director
104313,Painter
105199,Director
105199,Storyboarder 
100597,Illustrator
100597,Mangaka
96888,Mangaka
97111,Writer
216220,Translator
220668,Translator
271831,Translator
286143,Translator
286287,Translator
97076,Scriptwriter
103636,Idol Group
105862,Composer
105862,Lyricist
105862,Arranger
107505,Band
112151,Band
133279,Art Director
143243,Producer
101525,Animator
120040,Animator
120040,Designer
101461,Vocalist
116301,Animator
116301,Designer
105226,Animator
105226,Designer
123133,Director
123133,Storyboarder 
124396,Director
124396,Storyboarder 
144506,Audio Engineer
120041,Background Artist
95178,Voice Actor
95833,Voice Actor
111165,Scriptwriter
114842,Director
115568,Animator
115568,Designer
119392,Writer
119354,Mangaka
102368,Mangaka
107823,Writer
107823,Mangaka
98236,Mangaka
107821,Mangaka
280653,Magazine Editor
95004,Voice Actor
95004,Musician
100070,Composer
100072,Arranger
100072,Composer
100110,Voice Actor
100110,Vocalist
100110,Illustrator
100311,Animator
100311,Director
100311,Storyboard Artist
100499,Director
100499,Storyboard Artist
105262,Animator
106501,Animator
106605,Scriptwriter
111745,Animator
111745,Director
115629,Animator
115629,Designer
117473,Animator
117473,Designer
123993,Animator
132703,Animator
118405,Animator
118405,Designer
134709,Animator
100304,Composer
100304,Musician
121372,Animator
98753,Mangaka
100811,Mangaka
106145,Mangaka
227587,Translator
110763,Mangaka
95015,Voice Actor
95206,Voice Actor
95704,Voice Actor
95704,Musician
100397,Composer
100397,Arranger
101863,Animator
101863,Designer
102136,Animator
102136,Designer
102935,Animator
103994,Voice Actor
103994,Vocalist
118431,Director
118431,Storyboarder 
119105,Scriptwriter
121678,Animator
121678,Character Designer
126921,Animator
226016,Animator
194312,Animator
146857,Composite Artist
142579,Composite Artist
142579,CG Artist
237951,Producer
237950,Producer
103185,Audio Engineer
128826,Designer
146162,Painter
151526,Director
111373,Director
111373,Animator
103836,Scriptwriter
103836,Writer
95046,Voice Actor
101417,Designer
110935,Animator
121205,Animator
124370,Art Director
105617,Voice Actor
123202,Animator
197856,Animator
152590,Illustrator
152590,Designer
167222,Background Artist
146802,Composite Artist
192488,CG Artist
192488,Producer
121962,Animator
106085,Mangaka
114791,Mangaka
227619,Translator
243796,Translator
289717,Translator
153136,Musician
156644,Musician
156644,Arranger
156644,Composer
133406,Lyricist
169454,Composer
158006,Animator
160808,Animator
302696,Production Manager
108115,Arranger
108115,Composer
137902,Editor
124398,Painter
143462,Animator
152856,Animator
143255,Animator
148487,Animator
164159,Animator
120004,Band
122980,Band
123419,Animator
123419,Director
257477,Producer
113433,Vocalist
113433,Composer
132887,Producer
209997,Animator
118785,Director
118785,Storyboard Artist
121210,Animator
132779,Editor
214712,Painter
189012,Painter
120168,Animator
121869,Vocalist
123423,Animator
123423,Designer
