media_id,related_media_id,relation_type
813,895,SIDE_STORY
813,896,SIDE_STORY
813,897,SIDE_STORY
813,898,SIDE_STORY
813,899,SIDE_STORY
813,900,SIDE_STORY
813,901,SIDE_STORY
813,902,SIDE_STORY
813,903,SIDE_STORY
813,904,SIDE_STORY
813,905,SIDE_STORY
813,906,SIDE_STORY
813,984,SIDE_STORY
813,985,SIDE_STORY
813,5152,SIDE_STORY
813,6714,SIDE_STORY
813,12231,SIDE_STORY
813,14837,SIDE_STORY
813,6033,ALTERNATIVE
813,20635,ALTERNATIVE
813,20778,SIDE_STORY
813,21175,SEQUEL
813,102431,SIDE_STORY
813,106492,CHARACTER
813,107256,CHARACTER
813,10017,SIDE_STORY
813,21,CHARACTER
813,986,SIDE_STORY
813,138864,CHARACTER
813,167496,OTHER
896,897,SEQUEL
896,813,PARENT
896,138864,OTHER
138864,502,PARENT
138864,891,PARENT
138864,892,PARENT
138864,894,PARENT
138864,895,PARENT
138864,896,PARENT
138864,897,PARENT
138864,898,PARENT
138864,899,PARENT
138864,813,CHARACTER
897,896,PREQUEL
897,813,PARENT
897,138864,OTHER
898,899,SEQUEL
898,813,PARENT
898,138864,OTHER
899,898,PREQUEL
899,813,PARENT
899,138864,OTHER
502,891,SEQUEL
502,223,ALTERNATIVE
502,893,ALTERNATIVE
502,138864,OTHER
891,502,PREQUEL
891,892,SEQUEL
891,223,ALTERNATIVE
891,138864,OTHER
892,891,PREQUEL
892,223,ALTERNATIVE
892,138864,OTHER
892,3312,CHARACTER
892,2222,CHARACTER
2222,30796,ADAPTATION
2222,6028,SIDE_STORY
2222,7157,SIDE_STORY
2222,7158,SIDE_STORY
2222,7666,SIDE_STORY
2222,7667,SIDE_STORY
2222,7816,SIDE_STORY
2222,8546,SIDE_STORY
2222,8547,SIDE_STORY
2222,8548,SIDE_STORY
2222,3312,ALTERNATIVE
2222,21175,CHARACTER
2222,223,CHARACTER
2222,139067,SIDE_STORY
2222,139062,SIDE_STORY
2222,892,CHARACTER
8546,2222,PARENT
8547,2222,PARENT
8548,2222,PARENT
7816,2222,PARENT
6028,2222,PARENT
30796,3312,ADAPTATION
30796,2222,ADAPTATION
30796,41926,CHARACTER
30796,94626,SEQUEL
30796,134362,SPIN_OFF
30796,30042,CHARACTER
30796,164679,CHARACTER
94626,30796,PREQUEL
41926,30013,CHARACTER
41926,30011,CHARACTER
41926,30796,CHARACTER
41926,30043,CHARACTER
41926,31505,CHARACTER
41926,30042,CHARACTER
41926,30045,CHARACTER
31505,1050,ADAPTATION
31505,41521,ALTERNATIVE
31505,41210,SEQUEL
31505,41926,CHARACTER
31505,96511,CHARACTER
31505,92124,SPIN_OFF
31505,129539,PARENT
129539,31505,SPIN_OFF
129539,63617,OTHER
129539,41521,OTHER
63617,129539,OTHER
41521,31505,ALTERNATIVE
41521,129539,OTHER
41210,31505,PREQUEL
1050,31505,ADAPTATION
1050,139250,CHARACTER
1050,21170,CHARACTER
21170,69883,ADAPTATION
21170,20755,PREQUEL
21170,21678,SIDE_STORY
21170,101102,SUMMARY
21170,97985,SPIN_OFF
21170,1050,CHARACTER
21170,21804,CHARACTER
21170,31814,CHARACTER
21170,11771,CHARACTER
97985,86949,ADAPTATION
97985,20755,PARENT
97985,21170,PARENT
97985,21864,OTHER
21864,20755,PARENT
21864,86949,ADAPTATION
21864,97985,OTHER
20755,69883,ADAPTATION
20755,21170,SEQUEL
20755,21303,SIDE_STORY
20755,21864,SPIN_OFF
20755,101102,SUMMARY
20755,97985,SPIN_OFF
20755,19759,ALTERNATIVE
101102,69883,ADAPTATION
101102,20755,PARENT
101102,21170,PARENT
69883,19759,ADAPTATION
69883,20755,ADAPTATION
69883,21170,ADAPTATION
69883,86949,SPIN_OFF
69883,21678,ADAPTATION
69883,101102,ADAPTATION
69883,63933,OTHER
69883,67755,CHARACTER
69883,41652,CHARACTER
69883,66933,CHARACTER
69883,75757,CHARACTER
86949,69883,PARENT
86949,21864,ADAPTATION
86949,97985,ADAPTATION
67755,19469,ADAPTATION
