media_id,score,amount
113686,60,2
113686,70,5
113686,80,1
113686,90,3
113686,100,6
110232,10,1
110232,50,4
110232,60,1
110232,70,2
110232,90,5
110232,100,1
110233,10,1
110233,20,1
110233,50,3
110233,60,2
110233,70,4
110233,80,2
110233,90,7
110233,100,2
154266,50,2
154266,60,4
154266,70,11
154266,80,4
154266,90,2
154266,100,3
101918,10,40
101918,20,30
101918,30,61
101918,40,129
101918,50,275
101918,60,505
101918,70,969
101918,80,639
101918,90,389
101918,100,274
30881,10,13
30881,20,29
30881,30,46
30881,40,85
30881,50,252
30881,60,346
30881,70,272
30881,80,142
30881,90,78
30881,100,45
30042,10,63
30042,20,22
30042,30,50
30042,40,98
30042,50,357
30042,60,727
30042,70,2326
30042,80,4186
30042,90,4611
30042,100,3644
32897,10,4
32897,20,9
32897,30,13
32897,40,31
32897,50,74
32897,60,137
32897,70,163
32897,80,101
32897,90,43
32897,100,12
6033,10,188
6033,20,116
6033,30,294
6033,40,605
6033,50,1741
6033,60,3319
6033,70,7863
6033,80,9487
6033,90,6101
6033,100,4211
813,10,459
813,20,241
813,30,549
813,40,1137
813,50,3706
813,60,7245
813,70,18974
813,80,27065
813,90,22650
813,100,18986
896,10,108
896,20,140
896,30,418
896,40,848
896,50,2002
896,60,3236
896,70,3318
896,80,1382
896,90,625
896,100,487
138864,10,8
138864,20,14
138864,30,20
138864,40,41
138864,50,81
138864,60,99
138864,70,60
138864,80,15
138864,90,21
138864,100,29
897,10,107
897,20,195
897,30,498
897,40,940
897,50,2049
897,60,2939
897,70,2816
897,80,1131
897,90,492
897,100,450
898,10,78
898,20,80
898,30,294
898,40,568
898,50,1761
898,60,2834
898,70,4681
898,80,2526
898,90,1065
898,100,692
899,10,112
899,20,175
899,30,421
899,40,771
899,50,1803
899,60,2769
899,70,3713
899,80,1758
899,90,792
899,100,569
502,10,62
502,20,86
502,30,182
502,40,319
502,50,959
502,60,1542
502,70,1499
502,80,616
502,90,305
502,100,322
891,10,54
891,20,77
891,30,164
891,40,319
891,50,860
891,60,1328
891,70,1366
891,80,511
891,90,246
891,100,278
892,10,78
892,20,42
892,30,142
892,40,273
892,50,743
892,60,1185
892,70,1293
892,80,572
892,90,238
892,100,273
2222,10,19
2222,20,12
2222,30,20
2222,40,24
2222,50,87
2222,60,141
2222,70,272
2222,80,206
2222,90,87
2222,100,59
8546,10,7
8546,20,6
8546,30,3
8546,40,19
8546,50,26
8546,60,40
8546,70,43
8546,80,16
8546,90,10
8546,100,9
8547,10,6
8547,30,5
8547,40,19
8547,50,18
8547,60,31
8547,70,21
8547,80,13
8547,90,9
8547,100,6
8548,10,10
8548,20,4
8548,30,5
8548,40,11
8548,50,22
8548,60,30
8548,70,24
8548,80,14
8548,90,6
8548,100,6
7816,10,6
7816,20,5
7816,30,8
7816,40,16
7816,50,13
7816,60,28
7816,70,25
7816,80,8
7816,90,12
7816,100,5
6028,10,5
6028,20,2
6028,30,3
6028,40,19
6028,50,30
6028,60,29
6028,70,37
6028,80,10
6028,90,11
6028,100,10
30796,10,6
30796,20,5
30796,30,15
30796,40,25
30796,50,75
30796,60,117
30796,70,252
30796,80,305
30796,90,219
30796,100,111
94626,10,1
94626,20,1
94626,30,2
94626,50,2
94626,60,2
94626,70,5
94626,80,4
41926,10,12
41926,20,14
41926,30,26
41926,40,49
41926,50,129
41926,60,169
41926,70,127
41926,80,45
41926,90,27
41926,100,9
31505,10,4
31505,20,6
31505,30,10
31505,40,23
31505,50,38
31505,60,52
31505,70,111
31505,80,86
31505,90,63
31505,100,60
129539,50,6
129539,60,5
129539,70,3
129539,80,3
129539,90,4
63617,10,3
63617,20,4
63617,40,1
63617,50,5
63617,60,4
63617,70,9
63617,80,2
63617,90,1
63617,100,2
41521,10,1
41521,30,2
41521,40,2
41521,50,3
41521,60,4
41521,70,4
41521,80,2
41521,90,1
41521,100,1
41210,10,1
41210,20,3
41210,30,2
41210,40,8
41210,50,9
41210,60,12
41210,70,25
41210,80,19
41210,90,19
41210,100,5
1050,10,95
1050,20,57
1050,30,93
1050,40,175
1050,50,409
1050,60,715
1050,70,1115
1050,80,1009
1050,90,691
1050,100,689
21170,10,404
21170,20,169
21170,30,408
21170,40,784
21170,50,2455
21170,60,5082
21170,70,16379
21170,80,37500
21170,90,47513
21170,100,32206
97985,10,45
97985,20,63
97985,30,118
97985,40,178
97985,50,571
97985,60,965
97985,70,1565
97985,80,967
97985,90,520
97985,100,364
21864,10,22
21864,20,16
21864,30,21
21864,40,50
21864,50,148
21864,60,269
21864,70,359
21864,80,186
21864,90,96
21864,100,85
20755,10,794
20755,20,430
20755,30,1183
20755,40,2122
20755,50,6105
20755,60,12472
20755,70,36357
20755,80,66352
20755,90,52634
20755,100,33050
101102,10,122
101102,20,98
101102,30,191
101102,40,316
101102,50,831
101102,60,1474
101102,70,2936
101102,80,2339
101102,90,1461
101102,100,1233
69883,10,51
69883,20,20
69883,30,67
69883,40,140
69883,50,418
69883,60,721
69883,70,2132
69883,80,4086
69883,90,4279
69883,100,2546
86949,20,1
86949,30,4
86949,40,13
86949,50,23
86949,60,29
86949,70,66
86949,80,34
86949,90,30
86949,100,24
67755,10,9
67755,20,7
67755,30,17
67755,40,21
67755,50,46
67755,60,87
67755,70,333
67755,80,624
67755,90,712
67755,100,527
104580,10,114
104580,20,41
104580,30,79
104580,40,163
104580,50,591
104580,60,1236
104580,70,4799
104580,80,10300
104580,90,8846
104580,100,5458
112625,10,97
112625,20,52
112625,30,128
112625,40,259
112625,50,762
112625,60,1714
112625,70,5532
112625,80,11353
112625,90,8887
112625,100,5981
98034,10,177
98034,20,62
98034,30,138
98034,40,258
98034,50,896
98034,60,1953
98034,70,7552
98034,80,18771
98034,90,22106
98034,100,13682
21804,10,492
21804,20,220
21804,30,501
21804,40,742
21804,50,2150
21804,60,4069
21804,70,13365
21804,80,29842
21804,90,34322
21804,100,24525
19469,10,82
19469,20,72
19469,30,139
19469,40,244
19469,50,430
19469,60,610
19469,70,855
19469,80,722
19469,90,606
19469,100,524
918,10,469
918,20,203
918,30,345
918,40,611
918,50,1252
918,60,2067
918,70,4967
918,80,9917
918,90,16467
918,100,18337
6945,10,58
6945,20,8
6945,30,26
6945,40,44
6945,50,157
6945,60,329
6945,70,964
6945,80,1500
6945,90,1002
6945,100,905
30044,10,78
30044,20,41
30044,30,44
30044,40,70
30044,50,131
30044,60,214
30044,70,455
30044,80,963
30044,90,1723
30044,100,2917
99714,10,137
99714,20,27
99714,30,75
99714,40,128
99714,50,381
99714,60,855
99714,70,2541
99714,80,4996
99714,90,4518
99714,100,4335
100784,10,117
100784,20,33
100784,30,80
100784,40,137
100784,50,278
100784,60,558
100784,70,1515
100784,80,3639
100784,90,5918
100784,100,6206
101925,10,114
101925,20,31
101925,30,65
101925,40,94
101925,50,216
101925,60,386
101925,70,1158
101925,80,2896
101925,90,5463
101925,100,6345
126819,10,26
126819,20,27
126819,30,22
126819,40,68
126819,50,169
126819,60,337
126819,70,1061
126819,80,2309
126819,90,2163
126819,100,1921
114129,10,164
114129,20,60
114129,30,41
114129,40,58
114129,50,85
114129,60,182
114129,70,442
114129,80,948
114129,90,2573
114129,100,7714
97889,10,189
97889,20,55
97889,30,69
97889,40,128
97889,50,241
97889,60,556
97889,70,1407
97889,80,3592
97889,90,7545
97889,100,10258
20996,10,332
20996,20,73
20996,30,67
20996,40,105
20996,50,301
20996,60,475
20996,70,1416
20996,80,3272
20996,90,7469
20996,100,16564
15335,10,133
15335,20,33
15335,30,40
15335,40,85
15335,50,242
15335,60,499
15335,70,1581
15335,80,3648
15335,90,6632
15335,100,7678
15417,10,183
15417,20,46
15417,30,61
15417,40,76
15417,50,223
15417,60,454
15417,70,1614
15417,80,4136
15417,90,8818
15417,100,11513
9969,10,217
9969,20,51
9969,30,56
9969,40,95
9969,50,259
9969,60,455
9969,70,1620
9969,80,4315
9969,90,9355
9969,100,12421
9863,10,60
9863,20,43
9863,30,67
9863,40,140
9863,50,389
9863,60,700
9863,70,1699
9863,80,2756
9863,90,2488
9863,100,1336
16395,10,6
16395,20,9
16395,30,8
16395,40,10
16395,50,78
16395,60,148
16395,70,486
16395,80,667
16395,90,353
16395,100,168
31414,10,7
31414,20,6
31414,30,18
31414,40,14
31414,50,53
31414,60,102
31414,70,290
31414,80,508
31414,90,548
31414,100,443
128896,10,10
128896,20,11
128896,30,42
128896,40,79
128896,50,182
128896,60,264
128896,70,459
128896,80,437
128896,90,244
128896,100,82
50065,10,3
50065,30,3
50065,40,14
50065,50,20
50065,60,40
50065,70,95
50065,80,80
50065,90,40
50065,100,12
43891,30,1
43891,40,7
43891,50,19
43891,60,15
43891,70,3
43891,90,3
43891,100,1
30671,10,65
30671,20,66
30671,30,131
30671,40,212
30671,50,416
30671,60,706
30671,70,1458
30671,80,1488
30671,90,787
30671,100,469
5667,10,163
5667,20,164
5667,30,367
5667,40,613
5667,50,1490
5667,60,2757
5667,70,4814
5667,80,3126
5667,90,1499
5667,100,1120
9181,10,304
9181,20,319
9181,30,658
9181,40,1049
9181,50,2280
9181,60,4317
9181,70,8013
9181,80,5947
9181,90,2846
9181,100,1873
13663,10,310
13663,20,291
13663,30,599
13663,40,991
13663,50,2023
13663,60,3703
13663,70,7404
13663,80,7164
13663,90,3637
13663,100,2379
20995,10,239
20995,20,192
20995,30,412
20995,40,640
20995,50,1405
20995,60,2642
20995,70,5476
20995,80,5145
20995,90,2716
20995,100,1897
21852,10,80
21852,20,81
21852,30,152
21852,40,220
21852,50,519
21852,60,1027
21852,70,2353
21852,80,2198
21852,90,1093
21852,100,905
21853,10,64
21853,20,66
21853,30,131
21853,40,222
21853,50,502
21853,60,977
21853,70,2153
21853,80,1827
21853,90,935
21853,100,773
100659,10,59
100659,20,60
100659,30,113
100659,40,172
100659,50,347
100659,60,725
100659,70,1274
100659,80,651
100659,90,377
100659,100,405
121848,10,2
121848,20,2
121848,30,3
121848,40,5
121848,50,18
121848,60,28
121848,70,47
121848,80,24
121848,90,14
121848,100,11
52519,10,35
52519,20,36
52519,30,75
52519,40,123
52519,50,242
52519,60,369
52519,70,828
52519,80,1145
52519,90,879
52519,100,552
109316,10,2
109316,20,3
109316,30,2
109316,40,9
109316,50,17
109316,60,27
109316,70,51
109316,80,26
109316,90,29
109316,100,27
109315,10,4
109315,20,3
109315,30,3
109315,40,8
109315,50,24
109315,60,41
109315,70,68
109315,80,31
109315,90,23
109315,100,21
30040,10,10
30040,20,6
30040,30,26
30040,40,55
30040,50,159
30040,60,259
30040,70,592
30040,80,618
30040,90,390
30040,100,152
68,10,73
68,20,77
68,30,195
68,40,460
68,50,1177
68,60,1952
68,70,3527
68,80,2583
68,90,1243
68,100,614
2589,10,13
2589,20,12
2589,30,20
2589,40,56
2589,50,159
2589,60,343
2589,70,382
2589,80,204
2589,90,90
2589,100,50
71835,10,1
71835,30,2
71835,40,2
71835,50,3
71835,60,6
71835,70,18
71835,80,22
71835,90,49
71835,100,20
160524,10,3
160524,20,5
160524,30,3
160524,40,2
160524,50,9
160524,60,20
160524,70,44
160524,80,21
160524,90,10
160524,100,11
13851,10,79
13851,20,82
13851,30,215
13851,40,324
13851,50,783
13851,60,1487
13851,70,3176
13851,80,2674
13851,90,1418
13851,100,1094
149278,30,1
149278,40,2
149278,50,9
149278,60,8
149278,70,13
149278,80,10
149278,90,3
149278,100,7
3455,10,760
3455,20,802
3455,30,1637
3455,40,2506
3455,50,4648
3455,60,7650
3455,70,11447
3455,80,7430
3455,90,3657
3455,100,2497
119493,10,42
119493,20,41
119493,30,73
119493,40,134
119493,50,225
119493,60,396
119493,70,598
119493,80,436
119493,90,204
119493,100,119
142849,10,62
142849,20,59
142849,30,135
142849,40,181
142849,50,377
142849,60,575
142849,70,642
142849,80,349
142849,90,189
142849,100,139
108482,10,2
108482,20,3
108482,30,5
108482,40,5
108482,50,17
108482,60,32
108482,70,22
108482,80,7
108482,90,8
108482,100,3
31012,10,1
31012,20,3
31012,30,3
31012,40,7
31012,50,19
31012,60,27
31012,70,18
31012,80,14
31012,90,6
86685,50,2
86685,60,5
86685,70,14
86685,80,9
86685,90,6
86685,100,7
47606,10,6
47606,20,6
47606,30,18
47606,40,23
47606,50,59
47606,60,100
47606,70,116
47606,80,54
47606,90,34
47606,100,18
7590,10,118
7590,20,130
7590,30,296
7590,40,538
7590,50,1166
7590,60,1809
7590,70,2180
7590,80,1054
7590,90,417
7590,100,279
50550,50,4
50550,60,6
50550,70,12
50550,80,7
50550,90,2
50550,100,2
8599,10,20
8599,20,24
8599,30,40
8599,40,76
8599,50,185
8599,60,307
8599,70,356
8599,80,186
8599,90,87
8599,100,58
49018,10,13
49018,20,2
49018,30,14
49018,40,13
49018,50,36
49018,60,48
49018,70,26
49018,80,4
49018,90,4
49018,100,3
39711,10,39
39711,20,17
39711,30,59
39711,40,122
39711,50,289
39711,60,540
39711,70,1538
39711,80,2877
39711,90,3338
39711,100,1971
51274,10,5
51274,20,5
51274,30,22
51274,40,45
51274,50,99
51274,60,177
51274,70,170
51274,80,62
